<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.03	01:00:00	1961.31	1964.72	1960.18	1962.56	1274	0	10
2023.04.03	02:00:00	1962.56	1962.67	1957.02	1957.12	2043	0	0
2023.04.03	03:00:00	1957.12	1964.14	1956.89	1962.38	3600	0	0
2023.04.03	04:00:00	1962.39	1964.56	1958.48	1960.34	4619	0	0
2023.04.03	05:00:00	1960.34	1960.40	1952.52	1952.57	3891	0	0
2023.04.03	06:00:00	1952.57	1953.82	1949.74	1951.87	3430	0	0
2023.04.03	07:00:00	1951.84	1952.72	1950.54	1952.60	2003	0	0
2023.04.03	08:00:00	1952.62	1954.12	1951.48	1953.84	3169	0	0
2023.04.03	09:00:00	1953.72	1957.18	1950.84	1954.80	4004	0	0
2023.04.03	10:00:00	1954.80	1962.02	1953.34	1961.83	4165	0	0
2023.04.03	11:00:00	1961.80	1966.46	1961.23	1965.84	3412	0	0
2023.04.03	12:00:00	1965.78	1967.03	1963.07	1966.15	2863	0	0
2023.04.03	13:00:00	1966.14	1972.55	1965.98	1972.52	3512	0	0
2023.04.03	14:00:00	1972.52	1978.75	1971.20	1978.63	4425	0	0
2023.04.03	15:00:00	1978.47	1979.94	1975.75	1979.04	6375	0	0
2023.04.03	16:00:00	1979.08	1980.75	1972.45	1976.08	7016	0	0
2023.04.03	17:00:00	1979.14	1989.82	1978.66	1986.06	9069	0	0
2023.04.03	18:00:00	1986.05	1990.43	1983.97	1987.99	5902	0	0
2023.04.03	19:00:00	1987.97	1990.55	1986.84	1987.00	4903	0	0
2023.04.03	20:00:00	1987.02	1987.02	1981.89	1985.02	4550	0	0
2023.04.03	21:00:00	1985.02	1985.23	1982.25	1982.46	3678	0	0
2023.04.03	22:00:00	1982.54	1986.04	1982.28	1985.16	3244	0	0
2023.04.03	23:00:00	1985.08	1985.88	1983.64	1984.35	986	0	1
2023.04.04	01:00:00	1985.24	1985.61	1983.65	1983.92	727	0	6
2023.04.04	02:00:00	1983.92	1985.52	1983.56	1984.93	960	0	5
2023.04.04	03:00:00	1984.93	1985.28	1982.19	1982.92	2562	0	0
2023.04.04	04:00:00	1982.92	1983.64	1977.85	1978.30	4062	0	0
2023.04.04	05:00:00	1978.30	1981.46	1978.09	1980.87	2547	0	0
2023.04.04	06:00:00	1980.84	1980.90	1977.86	1978.18	1584	0	0
