<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.03	01:15:00	1961.31	1964.26	1960.18	1964.03	419	0	12
2023.04.03	01:30:00	1964.03	1964.72	1961.22	1964.03	528	0	10
2023.04.03	01:45:00	1964.02	1964.11	1961.62	1962.56	327	0	11
2023.04.03	02:00:00	1962.56	1962.67	1960.90	1960.90	323	0	9
2023.04.03	02:15:00	1960.84	1961.64	1958.50	1960.59	527	0	0
2023.04.03	02:30:00	1960.54	1961.22	1957.70	1958.21	545	0	4
2023.04.03	02:45:00	1958.11	1958.77	1957.02	1957.12	648	0	1
2023.04.03	03:00:00	1957.12	1961.19	1956.89	1960.64	1118	0	0
2023.04.03	03:15:00	1960.70	1962.64	1959.23	1962.64	831	0	5
2023.04.03	03:30:00	1962.64	1963.62	1961.20	1962.54	806	0	4
2023.04.03	03:45:00	1962.52	1964.14	1962.02	1962.38	845	0	3
2023.04.03	04:00:00	1962.39	1963.62	1960.14	1961.96	1364	0	0
2023.04.03	04:15:00	1961.96	1964.56	1961.22	1962.32	1088	0	0
2023.04.03	04:30:00	1962.32	1962.76	1960.14	1960.16	1086	0	2
2023.04.03	04:45:00	1960.16	1960.87	1958.48	1960.34	1081	0	4
2023.04.03	05:00:00	1960.34	1960.40	1958.28	1958.86	921	0	0
2023.04.03	05:15:00	1958.86	1959.35	1957.93	1958.71	754	0	0
2023.04.03	05:30:00	1958.69	1958.73	1956.12	1956.63	997	0	0
2023.04.03	05:45:00	1956.68	1957.87	1952.52	1952.57	1219	0	1
2023.04.03	06:00:00	1952.57	1953.82	1950.90	1951.53	1042	0	0
2023.04.03	06:15:00	1951.50	1952.79	1949.74	1951.89	1114	0	0
2023.04.03	06:30:00	1951.86	1952.04	1950.93	1951.25	704	0	0
2023.04.03	06:45:00	1951.25	1952.09	1950.94	1951.87	570	0	2
2023.04.03	07:00:00	1951.84	1952.16	1950.56	1952.14	514	0	2
2023.04.03	07:15:00	1952.08	1952.52	1950.54	1951.38	471	0	6
2023.04.03	07:30:00	1951.38	1952.72	1950.84	1951.96	560	0	0
2023.04.03	07:45:00	1951.93	1952.70	1951.46	1952.60	458	0	5
2023.04.03	08:00:00	1952.62	1953.22	1951.74	1953.04	647	0	0
2023.04.03	08:15:00	1953.08	1953.80	1952.47	1953.76	588	0	5
2023.04.03	08:30:00	1953.76	1954.12	1951.48	1952.87	929	0	6
2023.04.03	08:45:00	1952.96	1953.86	1951.94	1953.84	1005	0	1
2023.04.03	09:00:00	1953.72	1954.13	1950.84	1952.10	1029	0	0
2023.04.03	09:15:00	1952.10	1955.03	1952.10	1954.40	1033	0	0
2023.04.03	09:30:00	1954.46	1957.18	1953.55	1956.41	893	0	0
2023.04.03	09:45:00	1956.39	1956.55	1954.38	1954.80	1049	0	0
2023.04.03	10:00:00	1954.80	1958.84	1953.34	1958.65	1241	0	0
2023.04.03	10:15:00	1958.61	1960.34	1958.17	1959.43	1093	0	0
2023.04.03	10:30:00	1959.42	1960.77	1958.36	1959.44	1021	0	0
2023.04.03	10:45:00	1959.43	1962.02	1958.81	1961.83	810	0	0
2023.04.03	11:00:00	1961.80	1964.45	1961.23	1964.12	923	0	0
2023.04.03	11:15:00	1964.15	1965.05	1962.74	1962.91	944	0	0
2023.04.03	11:30:00	1962.96	1964.23	1962.91	1964.03	715	0	0
2023.04.03	11:45:00	1964.03	1966.46	1964.02	1965.84	830	0	0
2023.04.03	12:00:00	1965.78	1967.03	1965.05	1965.43	798	0	0
2023.04.03	12:15:00	1965.43	1965.82	1964.20	1964.55	663	0	0
2023.04.03	12:30:00	1964.51	1964.82	1963.07	1963.83	818	0	0
2023.04.03	12:45:00	1963.81	1966.25	1963.69	1966.15	584	0	0
2023.04.03	13:00:00	1966.14	1970.53	1965.98	1970.15	1029	0	0
2023.04.03	13:15:00	1970.33	1970.92	1968.87	1969.26	956	0	0
2023.04.03	13:30:00	1969.26	1971.22	1968.94	1970.97	741	0	0
2023.04.03	13:45:00	1970.97	1972.55	1970.69	1972.52	786	0	0
2023.04.03	14:00:00	1972.52	1973.45	1971.20	1973.27	1032	0	0
2023.04.03	14:15:00	1973.27	1975.34	1972.78	1974.69	1103	0	0
2023.04.03	14:30:00	1974.80	1977.20	1974.59	1975.33	1285	0	0
2023.04.03	14:45:00	1975.38	1978.75	1975.29	1978.63	1005	0	0
2023.04.03	15:00:00	1978.47	1979.62	1976.00	1976.14	1535	0	0
2023.04.03	15:15:00	1976.14	1978.24	1975.75	1977.96	1567	0	0
2023.04.03	15:30:00	1977.97	1979.90	1976.22	1977.58	1721	0	0
2023.04.03	15:45:00	1977.60	1979.94	1976.42	1979.04	1552	0	0
2023.04.03	16:00:00	1979.08	1979.15	1976.60	1976.60	1690	0	0
2023.04.03	16:15:00	1976.78	1978.49	1976.52	1978.20	1335	0	0
2023.04.03	16:30:00	1978.27	1980.38	1972.45	1979.98	2176	0	0
2023.04.03	16:45:00	1979.97	1980.75	1975.90	1976.08	1815	0	0
2023.04.03	17:00:00	1979.14	1985.81	1978.66	1983.11	2592	0	0
2023.04.03	17:15:00	1983.12	1988.47	1982.94	1988.30	2298	0	0
2023.04.03	17:30:00	1988.49	1989.82	1984.81	1985.67	2079	0	0
2023.04.03	17:45:00	1985.68	1987.58	1981.92	1986.06	2100	0	0
2023.04.03	18:00:00	1986.05	1987.34	1983.97	1986.24	1857	0	0
2023.04.03	18:15:00	1986.24	1989.29	1985.29	1988.57	1449	0	0
2023.04.03	18:30:00	1988.58	1990.43	1987.73	1989.67	1383	0	0
2023.04.03	18:45:00	1989.63	1990.26	1987.52	1987.99	1213	0	0
2023.04.03	19:00:00	1987.97	1989.84	1986.97	1989.48	1313	0	0
2023.04.03	19:15:00	1989.50	1990.46	1989.16	1990.09	1075	0	0
2023.04.03	19:30:00	1990.09	1990.55	1987.22	1988.24	1254	0	0
2023.04.03	19:45:00	1988.24	1988.76	1986.84	1987.00	1261	0	0
2023.04.03	20:00:00	1987.02	1987.02	1981.89	1982.87	1408	0	0
2023.04.03	20:15:00	1982.99	1985.50	1982.90	1983.55	1176	0	0
2023.04.03	20:30:00	1983.47	1985.30	1983.38	1985.07	1128	0	0
2023.04.03	20:45:00	1985.13	1985.27	1984.06	1985.02	838	0	0
2023.04.03	21:00:00	1985.02	1985.22	1983.30	1985.09	877	0	2
2023.04.03	21:15:00	1985.10	1985.23	1983.91	1984.92	948	0	0
2023.04.03	21:30:00	1984.93	1985.08	1983.20	1983.66	804	0	0
2023.04.03	21:45:00	1983.66	1983.77	1982.25	1982.46	1049	0	0
2023.04.03	22:00:00	1982.54	1984.37	1982.28	1984.31	939	0	0
2023.04.03	22:15:00	1984.29	1985.70	1984.18	1984.90	752	0	0
2023.04.03	22:30:00	1984.95	1986.04	1984.52	1985.71	849	0	0
2023.04.03	22:45:00	1985.78	1986.04	1984.52	1985.16	704	0	5
2023.04.03	23:00:00	1985.08	1985.88	1984.58	1984.98	417	0	1
2023.04.03	23:15:00	1984.98	1984.98	1983.93	1983.94	167	0	12
2023.04.03	23:30:00	1983.98	1984.37	1983.64	1984.12	202	0	12
2023.04.03	23:45:00	1984.18	1984.41	1983.74	1984.35	200	0	12
2023.04.04	01:00:00	1985.24	1985.61	1984.92	1985.19	205	0	8
2023.04.04	01:15:00	1985.21	1985.29	1984.30	1984.56	147	0	12
2023.04.04	01:30:00	1984.57	1984.62	1983.65	1984.04	224	0	6
2023.04.04	01:45:00	1984.04	1984.25	1983.72	1983.92	151	0	6
2023.04.04	02:00:00	1983.92	1984.47	1983.56	1984.47	250	0	8
2023.04.04	02:15:00	1984.44	1985.19	1984.44	1984.98	251	0	8
2023.04.04	02:30:00	1984.94	1985.46	1984.70	1985.18	250	0	5
2023.04.04	02:45:00	1985.18	1985.52	1984.69	1984.93	209	0	6
2023.04.04	03:00:00	1984.93	1985.28	1983.52	1983.53	524	0	4
2023.04.04	03:15:00	1983.53	1984.85	1983.33	1984.63	456	0	5
2023.04.04	03:30:00	1984.64	1984.86	1983.31	1983.31	757	0	0
2023.04.04	03:45:00	1983.23	1983.68	1982.19	1982.92	825	0	5
2023.04.04	04:00:00	1982.92	1983.64	1981.20	1981.72	971	0	5
2023.04.04	04:15:00	1981.72	1982.13	1980.62	1981.46	858	0	4
2023.04.04	04:30:00	1981.46	1982.29	1980.44	1981.40	1012	0	0
2023.04.04	04:45:00	1981.41	1981.41	1977.85	1978.30	1221	0	1
2023.04.04	05:00:00	1978.30	1979.52	1978.09	1979.04	1025	0	0
2023.04.04	05:15:00	1979.04	1980.12	1978.99	1980.09	441	0	0
2023.04.04	05:30:00	1980.07	1980.94	1979.79	1979.90	530	0	1
2023.04.04	05:45:00	1980.15	1981.46	1979.72	1980.87	551	0	5
2023.04.04	06:00:00	1980.84	1980.90	1979.96	1980.38	496	0	3
2023.04.04	06:15:00	1980.38	1980.38	1979.42	1979.55	428	0	1
2023.04.04	06:30:00	1979.55	1980.32	1979.51	1979.97	298	0	2
2023.04.04	06:45:00	1979.97	1979.97	1977.86	1978.18	362	0	0
2023.04.04	07:00:00	1978.17	1979.48	1978.12	1978.87	343	0	0
